State,Date,Total Cases
Florida,Jul 19 2020,354031
Florida,Jul 18 2020,343667
Florida,Jul 17 2020,331314
Florida,Jul 16 2020,321170
Florida,Jul 15 2020,310002
Florida,Jul 14 2020,296275
Florida,Jul 13 2020,286303
Florida,Jul 12 2020,277140
Florida,Jul 11 2020,264976
Florida,Jul 10 2020,249848
Florida,Jul  9 2020,239619
Florida,Jul  8 2020,228381
Florida,Jul  7 2020,219517
Florida,Jul  6 2020,209591
Florida,Jul  5 2020,202313
Florida,Jul  4 2020,196095
Florida,Jul  3 2020,186262
Florida,Jul  2 2020,174961
Florida,Jul  1 2020,165662
Florida,Jun 30 2020,156240
Florida,Jun 29 2020,149712
Florida,Jun 28 2020,143697
Florida,Jun 27 2020,138343
Florida,Jun 26 2020,130011
Florida,Jun 25 2020,120497
Florida,Jun 24 2020,111699
Florida,Jun 23 2020,106716
Florida,Jun 22 2020,101260
Florida,Jun 21 2020,97465
Florida,Jun 20 2020,94719
Florida,Jun 19 2020,90110
Florida,Jun 18 2020,86116
Florida,Jun 17 2020,82808
Florida,Jun 16 2020,80116
Florida,Jun 15 2020,77687
Florida,Jun 14 2020,74995
Florida,Jun 13 2020,73238
Florida,Jun 12 2020,71107
Florida,Jun 11 2020,68639
Florida,Jun 10 2020,67006
Florida,Jun  9 2020,65340
Florida,Jun  8 2020,64097
Florida,Jun  7 2020,62942
Florida,Jun  6 2020,61913
Florida,Jun  5 2020,60521
Florida,Jun  4 2020,59279
Florida,Jun  3 2020,58263
Florida,Jun  2 2020,56999
Florida,Jun  1 2020,55790
Florida,May 31 2020,55188
Florida,May 30 2020,54489
Florida,May 29 2020,53619
Florida,May 28 2020,52868
Florida,May 27 2020,51648
Florida,May 26 2020,51037
Florida,May 25 2020,50563
Florida,May 24 2020,50062
Florida,May 23 2020,49083
Florida,May 22 2020,48539
Florida,May 21 2020,47806
Florida,May 20 2020,47083
Florida,May 19 2020,45895
Florida,May 18 2020,45421
Florida,May 17 2020,44809
Florida,May 16 2020,44156
Florida,May 15 2020,43020
Florida,May 14 2020,42541
Florida,May 13 2020,41756
Florida,May 12 2020,40965
Florida,May 11 2020,40166
Florida,May 10 2020,39560
Florida,May  9 2020,39177
Florida,May  8 2020,38497
Florida,May  7 2020,37729
Florida,May  6 2020,37385
Florida,May  5 2020,36759
Florida,May  4 2020,36177
Florida,May  3 2020,35603
Florida,May  2 2020,34836
Florida,May  1 2020,34205
Florida,Apr 30 2020,33502
Florida,Apr 29 2020,32526
Florida,Apr 28 2020,32012
Florida,Apr 27 2020,31669
Florida,Apr 26 2020,30923
