State,Date,Total Cases
Florida,Aug 11 2020,541698
Florida,Aug 10 2020,533653
Florida,Aug  9 2020,527910
Florida,Aug  8 2020,523774
Florida,Aug  7 2020,517672
Florida,Aug  6 2020,509371
Florida,Aug  5 2020,501856
Florida,Aug  4 2020,494306
Florida,Aug  3 2020,488900
Florida,Aug  2 2020,483563
Florida,Aug  1 2020,478766
Florida,Jul 31 2020,471737
Florida,Jul 30 2020,462283
Florida,Jul 29 2020,453419
Florida,Jul 28 2020,443621
Florida,Jul 27 2020,434331
Florida,Jul 26 2020,425221
Florida,Jul 25 2020,416445
Florida,Jul 24 2020,407227
Florida,Jul 23 2020,395245
Florida,Jul 22 2020,382972
Florida,Jul 21 2020,372913
Florida,Jul 20 2020,363270
Florida,Jul 19 2020,354038
Florida,Jul 18 2020,343673
Florida,Jul 17 2020,331320
Florida,Jul 16 2020,321176
Florida,Jul 15 2020,310008
Florida,Jul 14 2020,296281
Florida,Jul 13 2020,286309
Florida,Jul 12 2020,277146
Florida,Jul 11 2020,264982
Florida,Jul 10 2020,249854
Florida,Jul  9 2020,239624
Florida,Jul  8 2020,228385
Florida,Jul  7 2020,219521
Florida,Jul  6 2020,209594
Florida,Jul  5 2020,202316
Florida,Jul  4 2020,196098
Florida,Jul  3 2020,186265
Florida,Jul  2 2020,174962
Florida,Jul  1 2020,165663
Florida,Jun 30 2020,156241
Florida,Jun 29 2020,149713
Florida,Jun 28 2020,143698
Florida,Jun 27 2020,138343
Florida,Jun 26 2020,130011
Florida,Jun 25 2020,120495
Florida,Jun 24 2020,111697
Florida,Jun 23 2020,106714
Florida,Jun 22 2020,101258
Florida,Jun 21 2020,97463
Florida,Jun 20 2020,94717
Florida,Jun 19 2020,90108
Florida,Jun 18 2020,86114
Florida,Jun 17 2020,82806
Florida,Jun 16 2020,80114
Florida,Jun 15 2020,77685
Florida,Jun 14 2020,74993
Florida,Jun 13 2020,73236
Florida,Jun 12 2020,71105
Florida,Jun 11 2020,68637
Florida,Jun 10 2020,67004
Florida,Jun  9 2020,65338
Florida,Jun  8 2020,64095
Florida,Jun  7 2020,62940
Florida,Jun  6 2020,61911
Florida,Jun  5 2020,60520
Florida,Jun  4 2020,59278
Florida,Jun  3 2020,58262
Florida,Jun  2 2020,56998
Florida,Jun  1 2020,55789
Florida,May 31 2020,55187
Florida,May 30 2020,54488
Florida,May 29 2020,53618
Florida,May 28 2020,52867
Florida,May 27 2020,51647
Florida,May 26 2020,51036
Florida,May 25 2020,50562
Florida,May 24 2020,50061
Florida,May 23 2020,49082
Florida,May 22 2020,48538
Florida,May 21 2020,47805
Florida,May 20 2020,47082
Florida,May 19 2020,45894
Florida,May 18 2020,45420
Florida,May 17 2020,44808
Florida,May 16 2020,44155
Florida,May 15 2020,43019
